GeneName	GeneID	EventNumber	EventType	GPos	Path.1	Path.2	Path.Reference	tran_P1	tran_P2	tran_Ref
ENSG00000223972.5_2	1	2	Retained Intron	1:12057-12179	2-3,3-3,3-4	2-4	2-2,4-4,4-5,5-5,8-8,10-10	ENST00000456328.2	ENST00000450305.2	ENST00000456328.2|ENST00000450305.2
ENSG00000223972.5_3	1	3	Mutually Exclusive Exons	1:12697-13221	5-7,7-7,7-8	5-6,6-6,6-8	2-2,4-4,4-5,5-5,8-8,10-10	ENST00000450305.2	ENST00000456328.2	ENST00000456328.2|ENST00000450305.2
ENSG00000223972.5_4	1	4	Complex Event	1:13374-13453	8-9,9-9,9-10	8-10	2-2,4-4,4-5,5-5,8-8,10-10	ENST00000456328.2	ENST00000450305.2	ENST00000456328.2|ENST00000450305.2
ENSG00000243485.3_1	2	1	Alternative First Exon	1:29554-30564	2-2,2-3	1-1,1-3	3-3,3-4,4-4	ENST00000469289.1	ENST00000473358.1	ENST00000469289.1|ENST00000473358.1
ENSG00000236601.2_3	11	3	Alternative 5' Splice Site	1:358929-365171	2-3,3-3,3-5	2-5	2-2	ENST00000412666.1	ENST00000450983.1	ENST00000450983.1|ENST00000412666.1
ENSG00000236601.2_4	11	4	Alternative First Exon	1:358872-365171	4-4,4-5	2-2	5-5	ENST00000635159.1	ENST00000450983.1|ENST00000412666.1	ENST00000635159.1|ENST00000450983.1|ENST00000412666.1
ENSG00000235146.2_2	14	2	Complex Event	1:587701-594235	2-3,3-3,3-4	2-4	2-2,4-4	ENST00000450696.1	ENST00000423796.1	ENST00000423796.1|ENST00000450696.1
ENSG00000237491.8_4	26	4	Complex Event	1:782043-783111	6-7,7-7	6-9	5-6,6-6	ENST00000434264.6|ENST00000457084.1|ENST00000609830.1	ENST00000589899.5	ENST00000434264.6|ENST00000457084.1|ENST00000589899.5|ENST00000609830.1
ENSG00000237491.8_5	26	5	Alternative Last Exon	1:782136-784396	7-8,8-8	10-10,10-11	5-6,6-6	ENST00000457084.1	ENST00000434264.6|ENST00000589899.5|ENST00000609830.1	ENST00000434264.6|ENST00000457084.1|ENST00000589899.5|ENST00000609830.1
ENSG00000237491.8_6	26	6	Complex Event	1:782043-783111	7-9	6-9	9-9,9-10	ENST00000609830.1	ENST00000589899.5	ENST00000589899.5|ENST00000609830.1
ENSG00000237491.8_7	26	7	Complex Event	1:782136-784370	9-9,9-10	7-10	10-10,10-11	ENST00000589899.5|ENST00000609830.1	ENST00000434264.6	ENST00000434264.6|ENST00000589899.5|ENST00000609830.1
ENSG00000237491.8_11	26	11	Complex Event	1:795582-803951	22-27	22-24	21-22,22-22	ENST00000590848.5	ENST00000586288.1	ENST00000590848.5|ENST00000586288.1
ENSG00000237491.8_12	26	12	Complex Event	1:784493-803922	25-25,25-26	12-26	26-26,26-27	ENST00000429505.5|ENST00000591440.5|ENST00000587530.5|ENST00000593022.5|ENST00000588951.5	ENST00000589531.5	ENST00000429505.5|ENST00000591440.5|ENST00000587530.5|ENST00000593022.5|ENST00000588951.5|ENST00000589531.5
ENSG00000237491.8_16	26	16	Alternative Last Exon	1:807323-809729	38-39,39-39	41-41	37-38,38-38	ENST00000443772.1	ENST00000412115.1|ENST00000588951.5	ENST00000588951.5|ENST00000443772.1|ENST00000412115.1
ENSG00000237491.8_18	26	18	Complex Event	1:779092-803919	5-6,6-6	5-25	5-5	ENST00000434264.6|ENST00000457084.1|ENST00000589899.5|ENST00000609830.1	ENST00000429505.5	ENST00000434264.6|ENST00000457084.1|ENST00000589899.5|ENST00000609830.1|ENST00000429505.5
ENSG00000237491.8_21	26	21	Alternative First Exon	1:784493-786393	17-17,17-18	12-18	18-18	ENST00000591702.1	ENST00000586928.5	ENST00000591702.1|ENST00000586928.5
ENSG00000237491.8_23	26	23	Complex Event	1:784493-795470	12-20,20-20,20-21	12-21	21-21	ENST00000590848.5|ENST00000586288.1	ENST00000585745.5	ENST00000590848.5|ENST00000586288.1|ENST00000585745.5
ENSG00000237491.8_25	26	25	Complex Event	1:784493-803567	22-24	12-24	24-24	ENST00000586288.1	ENST00000587530.5	ENST00000587530.5|ENST00000586288.1
ENSG00000237491.8_26	26	26	Complex Event	1:803667-803951	24-27	24-25	24-24	ENST00000586288.1	ENST00000587530.5	ENST00000587530.5|ENST00000586288.1
